Referência;Tipo Documento;ATCUD;Situação;Data da Transação;Motivo Emissão;Data de Emissão;País do Adquirente;NIF Adquirente;Nome do Adquirente;Valor Tributável (em euros);Valor do IVA (em euros);Imposto do Selo como Retenção na Fonte;Valor do Imposto do Selo (em euros);Valor do IRS (em euros);Total de Impostos (em euros);Total com Impostos (em euros);Total de Retenções na Fonte (em euros);Contribuição Cultura (em euros);Total do Documento (em euros)
FR ATSIRE01FR/70;Fatura-Recibo;JJMD3KXT-70;Emitido;Pagamento dos bens ou dos serviços;2025-12-27;2025-12-27;PORTUGAL;510927874;IDBL - INSTITUTO MEDICO-DENTARIO DE BEJA LDA;384,97;0;;0;88,54;;384,97;88,54;0;296,43
FR ATSIRE01FR/69;Fatura-Recibo;JJMD3KXT-69;Emitido;Pagamento dos bens ou dos serviços;2025-12-05;2025-12-05;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;258,95;0;;0;59,558;;258,95;59,558;0;199,392
FR ATSIRE01FR/68;Fatura-Recibo;JJMD3KXT-68;Emitido;Pagamento dos bens ou dos serviços;2025-12-05;2025-12-05;PORTUGAL;500600651;EQUIPADENTE LABORATORIO PROTESE DENTARIA LDA;891,45;0;;0;222,862;;891,45;222,862;0;668,588
FR ATSIRE01FR/67;Fatura-Recibo;JJMD3KXT-67;Emitido;Pagamento dos bens ou dos serviços;2025-12-05;2025-12-05;PORTUGAL;517283972;EVORAL CENTER LDA;220;0;;0;50,6;;220;50,6;0;169,4
FR ATSIRE01FR/66;Fatura-Recibo;JJMD3KXT-66;Emitido;Pagamento dos bens ou dos serviços;2025-11-17;2025-11-22;PORTUGAL;510927874;IDBL - INSTITUTO MEDICO-DENTARIO DE BEJA LDA;101,67;0;;0;23,384;;101,67;23,384;0;78,286
FR ATSIRE01FR/65;Fatura-Recibo;JJMD3KXT-65;Emitido;Pagamento dos bens ou dos serviços;2025-11-11;2025-11-22;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;364,7;0;;0;83,881;;364,7;83,881;0;280,819
FR ATSIRE01FR/64;Fatura-Recibo;JJMD3KXT-64;Emitido;Pagamento dos bens ou dos serviços;2025-11-04;2025-11-11;PORTUGAL;500600651;EQUIPADENTE LABORATORIO PROTESE DENTARIA LDA;745,05;0;;0;186,262;;745,05;186,262;0;558,788
FR ATSIRE01FR/63;Fatura-Recibo;JJMD3KXT-63;Emitido;Pagamento dos bens ou dos serviços;2025-11-10;2025-11-10;PORTUGAL;517283972;EVORAL CENTER LDA;192,75;0;;0;44,332;;192,75;44,332;0;148,418
FR ATSIRE01FR/62;Fatura-Recibo;JJMD3KXT-62;Emitido;Pagamento dos bens ou dos serviços;2025-10-15;2025-10-26;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;360,2;0;;0;82,85;;360,2;82,85;0;277,35
FR ATSIRE01FR/61;Fatura-Recibo;JJMD3KXT-61;Emitido;Pagamento dos bens ou dos serviços;2025-09-16;2025-10-14;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;395,19;0;;0;90,89;;395,19;90,89;0;304,3
FR ATSIRE01FR/60;Fatura-Recibo;JJMD3KXT-60;Emitido;Pagamento dos bens ou dos serviços;2025-10-05;2025-10-05;PORTUGAL;517283972;EVORAL CENTER LDA;121,66;0;;0;27,98;;121,66;27,98;0;93,68
FR ATSIRE01FR/59;Fatura-Recibo;JJMD3KXT-59;Emitido;Pagamento dos bens ou dos serviços;2025-10-05;2025-10-05;PORTUGAL;510927874;IDBL - INSTITUTO MEDICO-DENTARIO DE BEJA LDA;454,64;0;;0;104,57;;454,64;104,57;0;350,07
FR ATSIRE01FR/58;Fatura-Recibo;JJMD3KXT-58;Emitido;Pagamento dos bens ou dos serviços;2025-09-04;2025-09-04;PORTUGAL;510927874;IDBL - INSTITUTO MEDICO-DENTARIO DE BEJA LDA;241,45;0;;0;55,53;;241,45;55,53;0;185,92
FR ATSIRE01FR/57;Fatura-Recibo;JJMD3KXT-57;Emitido;Pagamento dos bens ou dos serviços;2025-07-15;2025-09-04;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;583,38;0;;0;134,18;;583,38;134,18;0;449,2
FR ATSIRE01FR/56;Fatura-Recibo;JJMD3KXT-56;Emitido;Pagamento dos bens ou dos serviços;2025-08-26;2025-09-04;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;279,1;0;;0;64,19;;279,1;64,19;0;214,91
FR ATSIRE01FR/55;Fatura-Recibo;JJMD3KXT-55;Emitido;Pagamento dos bens ou dos serviços;2025-09-01;2025-09-01;PORTUGAL;500600651;EQUIPADENTE LABORATORIO PROTESE DENTARIA LDA;869,41;0;;0;217,35;;869,41;217,35;0;652,06
FR ATSIRE01FR/54;Fatura-Recibo;JJMD3KXT-54;Emitido;Pagamento dos bens ou dos serviços;2025-09-01;2025-09-01;PORTUGAL;517283972;EVORAL CENTER LDA;70;0;;0;16,1;;70;16,1;0;53,9
FR ATSIRE01FR/53;Fatura-Recibo;JJMD3KXT-53;Emitido;Pagamento dos bens ou dos serviços;2025-08-21;2025-08-21;PORTUGAL;500600651;EQUIPADENTE LABORATORIO PROTESE DENTARIA LDA;602,36;0;;0;150,59;;602,36;150,59;0;451,77
FR ATSIRE01FR/52;Fatura-Recibo;JJMD3KXT-52;Emitido;Pagamento dos bens ou dos serviços;2025-08-21;2025-08-21;PORTUGAL;510927874;IDBL - INSTITUTO MEDICO-DENTARIO DE BEJA LDA;131,9;0;;0;30,34;;131,9;30,34;0;101,56
FR ATSIRE01FR/51;Fatura-Recibo;JJMD3KXT-51;Emitido;Pagamento dos bens ou dos serviços;2025-08-21;2025-08-21;PORTUGAL;517283972;EVORAL CENTER LDA;70;0;;0;16,1;;70;16,1;0;53,9
FR ATSIRE01FR/50;Fatura-Recibo;JJMD3KXT-50;Emitido;Pagamento dos bens ou dos serviços;2025-06-26;2025-07-09;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;1.391,61;0;;0;320,07;;1.391,61;320,07;0;1.071,54
FR ATSIRE01FR/49;Fatura-Recibo;JJMD3KXT-49;Emitido;Pagamento dos bens ou dos serviços;2025-07-09;2025-07-09;PORTUGAL;500600651;EQUIPADENTE LABORATORIO PROTESE DENTARIA LDA;1.549,04;0;;0;387,26;;1.549,04;387,26;0;1.161,78
FR ATSIRE01FR/48;Fatura-Recibo;JJMD3KXT-48;Emitido;Pagamento dos bens ou dos serviços;2025-07-09;2025-07-09;PORTUGAL;510927874;IDBL - INSTITUTO MEDICO-DENTARIO DE BEJA LDA;256,12;0;;0;58,91;;256,12;58,91;0;197,21
FR ATSIRE01FR/47;Fatura-Recibo;JJMD3KXT-47;Emitido;Pagamento dos bens ou dos serviços;2025-07-09;2025-07-09;PORTUGAL;517283972;EVORAL CENTER LDA;122,5;0;;0;28,18;;122,5;28,18;0;94,32
FT ATSIRE01FT/2;Fatura;JJ7F7TKF-2;Emitido;Pagamento dos bens ou dos serviços;2025-07-01;2025-07-01;PORTUGAL;508085888;UNIDADE LOCAL DE SAÚDE DO ALENTEJO CENTRAL, E.P.E.;360;0;;0;0;;360;0;0;360
FR ATSIRE01FR/46;Fatura-Recibo;JJMD3KXT-46;Emitido;Pagamento dos bens ou dos serviços;2025-06-06;2025-06-06;PORTUGAL;510927874;IDBL - INSTITUTO MEDICO-DENTARIO DE BEJA LDA;984,36;0;;0;226,4;;984,36;226,4;0;757,96
FR ATSIRE01FR/45;Fatura-Recibo;JJMD3KXT-45;Emitido;Pagamento dos bens ou dos serviços;2025-05-29;2025-06-06;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;691,65;0;;0;159,08;;691,65;159,08;0;532,57
FR ATSIRE01FR/44;Fatura-Recibo;JJMD3KXT-44;Emitido;Pagamento dos bens ou dos serviços;2025-05-06;2025-06-06;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;1.280,32;0;;0;294,47;;1.280,32;294,47;0;985,85
FR ATSIRE01FR/43;Fatura-Recibo;JJMD3KXT-43;Emitido;Pagamento dos bens ou dos serviços;2025-06-06;2025-06-06;PORTUGAL;500600651;EQUIPADENTE LABORATORIO PROTESE DENTARIA LDA;1.117,01;0;;0;279,25;;1.117,01;279,25;0;837,76
FR ATSIRE01FR/42;Fatura-Recibo;JJMD3KXT-42;Emitido;Pagamento dos bens ou dos serviços;2025-06-06;2025-06-06;PORTUGAL;517283972;EVORAL CENTER LDA;385,5;0;;0;88,67;;385,5;88,67;0;296,83
FR ATSIRE01FR/41;Fatura-Recibo;JJMD3KXT-41;Emitido;Pagamento dos bens ou dos serviços;2025-05-11;2025-05-11;PORTUGAL;500600651;EQUIPADENTE LABORATORIO PROTESE DENTARIA LDA;1.525,59;0;;0;381,4;;1.525,59;381,4;0;1.144,19
FR ATSIRE01FR/40;Fatura-Recibo;JJMD3KXT-40;Emitido;Pagamento dos bens ou dos serviços;2025-05-11;2025-05-11;PORTUGAL;510927874;IDBL - INSTITUTO MEDICO-DENTARIO DE BEJA LDA;35,55;0;;0;8,18;;35,55;8,18;0;27,37
FR ATSIRE01FR/39;Fatura-Recibo;JJMD3KXT-39;Emitido;Pagamento dos bens ou dos serviços;2025-05-11;2025-05-11;PORTUGAL;503276677;CLINICA MEDICA E DENTARIA DE SANTA MADALENA LDA;153,52;0;;0;35,31;;153,52;35,31;0;118,21
FR ATSIRE01FR/38;Fatura-Recibo;JJMD3KXT-38;Emitido;Pagamento dos bens ou dos serviços;2025-05-11;2025-05-11;PORTUGAL;517283972;EVORAL CENTER LDA;155;0;;0;35,65;;155;35,65;0;119,35
FR ATSIRE01FR/37;Fatura-Recibo;JJMD3KXT-37;Emitido;Pagamento dos bens ou dos serviços;2025-03-17;2025-04-10;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;974,74;0;;0;224,19;;974,74;224,19;0;750,55
FR ATSIRE01FR/36;Fatura-Recibo;JJMD3KXT-36;Emitido;Pagamento dos bens ou dos serviços;2025-04-10;2025-04-10;PORTUGAL;503276677;CLINICA MEDICA E DENTARIA DE SANTA MADALENA LDA;148,24;0;;0;34,1;;148,24;34,1;0;114,14
FR ATSIRE01FR/35;Fatura-Recibo;JJMD3KXT-35;Emitido;Pagamento dos bens ou dos serviços;2025-04-08;2025-04-08;PORTUGAL;500600651;EQUIPADENTE LABORATORIO PROTESE DENTARIA LDA;2.264,23;0;;0;566,06;;2.264,23;566,06;0;1.698,17
FR ATSIRE01FR/34;Fatura-Recibo;JJMD3KXT-34;Emitido;Pagamento dos bens ou dos serviços;2025-04-08;2025-04-08;PORTUGAL;510927874;IDBL - INSTITUTO MEDICO-DENTARIO DE BEJA LDA;237,39;0;;0;54,6;;237,39;54,6;0;182,79
FR ATSIRE01FR/33;Fatura-Recibo;JJMD3KXT-33;Emitido;Pagamento dos bens ou dos serviços;2025-04-08;2025-04-08;PORTUGAL;517283972;EVORAL CENTER LDA;436,13;0;;0;100,31;;436,13;100,31;0;335,82
FR ATSIRE01FR/32;Fatura-Recibo;JJMD3KXT-32;Emitido;Pagamento dos bens ou dos serviços;2025-03-07;2025-03-07;PORTUGAL;517283972;EVORAL CENTER LDA;362,99;0;;0;83,49;;362,99;83,49;0;279,5
FR ATSIRE01FR/31;Fatura-Recibo;JJMD3KXT-31;Emitido;Pagamento dos bens ou dos serviços;2025-03-07;2025-03-07;PORTUGAL;503276677;CLINICA MEDICA E DENTARIA DE SANTA MADALENA LDA;242,94;0;;0;55,88;;242,94;55,88;0;187,06
FR ATSIRE01FR/30;Fatura-Recibo;JJMD3KXT-30;Emitido;Pagamento dos bens ou dos serviços;2025-02-24;2025-03-04;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;657,15;0;;0;164,29;;657,15;164,29;0;492,86
FR ATSIRE01FR/29;Fatura-Recibo;JJMD3KXT-29;Anulado;Pagamento dos bens ou dos serviços;2025-03-04;2025-03-04;PORTUGAL;503276677;CLINICA MEDICA E DENTARIA DE SANTA MADALENA LDA;182,33;0;;0;41,94;;182,33;41,94;0;140,39
FR ATSIRE01FR/28;Fatura-Recibo;JJMD3KXT-28;Emitido;Pagamento dos bens ou dos serviços;2025-03-04;2025-03-04;PORTUGAL;510927874;IDBL - INSTITUTO MEDICO-DENTARIO DE BEJA LDA;406,7;0;;0;101,68;;406,7;101,68;0;305,02
FR ATSIRE01FR/27;Fatura-Recibo;JJMD3KXT-27;Emitido;Pagamento dos bens ou dos serviços;2024-12-10;2025-02-20;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;730,72;0;;0;182,68;;730,72;182,68;0;548,04
FR ATSIRE01FR/26;Fatura-Recibo;JJMD3KXT-26;Emitido;Pagamento dos bens ou dos serviços;2024-04-04;2025-02-20;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;805,91;0;;0;201,48;;805,91;201,48;0;604,43
FR ATSIRE01FR/25;Fatura-Recibo;JJMD3KXT-25;Emitido;Pagamento dos bens ou dos serviços;2025-02-13;2025-02-13;PORTUGAL;517283972;EVORAL CENTER LDA;258,63;0;;0;64,66;;258,63;64,66;0;193,97
FR ATSIRE01FR/24;Fatura-Recibo;JJMD3KXT-24;Emitido;Pagamento dos bens ou dos serviços;2025-01-16;2025-02-08;PORTUGAL;516805401;OLINDA & BEATRIZ LDA;611,37;0;;0;152,84;;611,37;152,84;0;458,53
FR ATSIRE01FR/23;Fatura-Recibo;JJMD3KXT-23;Emitido;Pagamento dos bens ou dos serviços;2025-02-08;2025-02-08;PORTUGAL;500600651;EQUIPADENTE LABORATORIO PROTESE DENTARIA LDA;3.053,27;0;;0;763,32;;3.053,27;763,32;0;2.289,95
FR ATSIRE01FR/22;Fatura-Recibo;JJMD3KXT-22;Emitido;Pagamento dos bens ou dos serviços;2025-02-08;2025-02-08;PORTUGAL;510927874;IDBL - INSTITUTO MEDICO-DENTARIO DE BEJA LDA;619,46;0;;0;154,87;;619,46;154,87;0;464,59
FR ATSIRE01FR/21;Fatura-Recibo;JJMD3KXT-21;Emitido;Pagamento dos bens ou dos serviços;2025-02-08;2025-02-08;PORTUGAL;503276677;CLINICA MEDICA E DENTARIA DE SANTA MADALENA LDA;249,41;0;;0;62,35;;249,41;62,35;0;187,06
FR ATSIRE01FR/20;Fatura-Recibo;JJMD3KXT-20;Emitido;Pagamento dos bens ou dos serviços;2025-01-07;2025-01-07;PORTUGAL;517283972;EVORAL CENTER LDA;58,5;0;;0;14,63;;58,5;14,63;0;43,87
FR ATSIRE01FR/19;Fatura-Recibo;JJMD3KXT-19;Emitido;Pagamento dos bens ou dos serviços;2025-01-03;2025-01-03;PORTUGAL;510927874;IDBL - INSTITUTO MEDICO-DENTARIO DE BEJA LDA;1.020,18;0;;0;255,05;;1.020,18;255,05;0;765,13
FR ATSIRE01FR/18;Fatura-Recibo;JJMD3KXT-18;Emitido;Pagamento dos bens ou dos serviços;2024-12-30;2025-01-03;PORTUGAL;503276677;CLINICA MEDICA E DENTARIA DE SANTA MADALENA LDA;117,81;0;;0;29,45;;117,81;29,45;0;88,36
FR ATSIRE01FR/17;Fatura-Recibo;JJMD3KXT-17;Anulado;Pagamento dos bens ou dos serviços;2025-01-03;2025-01-03;PORTUGAL;503276677;CLINICA MEDICA E DENTARIA DE SANTA MADALENA LDA;117,81;0;;0;29,45;;117,81;29,45;0;88,36
FR ATSIRE01FR/16;Fatura-Recibo;JJMD3KXT-16;Emitido;Pagamento dos bens ou dos serviços;2025-01-03;2025-01-03;PORTUGAL;500600651;EQUIPADENTE LABORATORIO PROTESE DENTARIA LDA;1.018,59;0;;0;254,65;;1.018,59;254,65;0;763,94
FT ATSIRE01FT/1;Fatura;JJ7F7TKF-1;Emitido;Pagamento dos bens ou dos serviços;2025-01-03;2025-01-03;PORTUGAL;508085888;UNIDADE LOCAL DE SAÚDE DO ALENTEJO CENTRAL, E.P.E.;1.530;0;;0;0;;1.530;0;0;1.530
